rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v_x,delta_v_y,delta_v_z
-8277081.395026516,50232311.52974826,4642923.020935096,79.69029208130955,36.1029706003987,-26.108419727859076,-10.021334679985934
-23322409.370349985,31598873.393801033,7803797.0313465595,114.44288508300266,23.197414546290396,25.594567296367465,10.293060556732414
-64190872.820645064,-5138034.334190682,20895448.888519883,102.95232943136243,16.841726003439675,20.432007193352263,12.303256324918623
-26559969.091118354,30335007.653650314,9043848.421522923,53.69621058186777,21.53767076177226,21.577581265661443,8.384268289839595
-36115719.42398481,-3700308.929088846,8811357.6345447,125.14168138105946,20.853006321182452,23.5471485004312,11.639055900186303
-50671135.47113253,-33482031.72457291,12509835.861716852,115.81006541757604,18.087453150048155,19.877755354472402,12.645966170592187
-54105857.57797223,-22668178.195956364,14868481.882879034,115.91097442113781,17.99040658094406,20.628858221237245,12.52570508584145
-64057062.402928725,-24259789.772578776,19030315.13896656,96.4180191315897,16.07360917322616,17.84779138874644,12.453111896647236
-38399014.797388375,-51379643.474917665,6005046.618151732,92.25406138014525,18.830434830342426,15.501800237067727,11.765699978586204
-33358820.39601581,-20997756.021119356,5930201.9891257435,121.75539029510456,20.73288303811543,22.150665671362873,11.78427624418391
-41327069.25167841,40062290.34332982,17110861.648342565,59.071965959982165,18.86958889371273,23.148392417218265,9.980744495513058
-39743499.42995095,-58535952.978574336,6204623.54020907,84.07432345511545,18.200485938273157,13.088576004528887,11.689587891535414
-36433670.95890246,-13418179.057912767,7974138.48906181,94.3534407848146,20.293547341094218,19.687187146466464,10.794686190607944
-58297458.08955875,29379736.103158265,22687676.98257357,54.00628309308252,14.326199787353637,20.746380291284176,11.315850077602843
-40322388.94693218,20326520.63704893,13621573.05761303,105.78376680600583,20.690487420079,23.65695676270155,10.95079929793217
-33447196.370574478,6836833.122920364,8824770.571714573,71.57611846048299,20.665711839120764,19.241076757239703,9.467411880343775
-20543351.91666681,52497873.842654556,10493216.920769855,111.87232071400402,23.894312111363725,27.02602375397877,10.06918299101465
-70971541.83035822,-40116339.18177377,20773726.974928215,96.55269574373177,14.644829007630753,15.96145686134344,13.102311332278726
-37213563.662646875,-25974353.453925982,7218667.502202533,74.29112601033214,19.346455403313,15.253723973865021,10.209905327866824
-18342865.83649372,53798003.18515366,9822167.750557408,72.89426576109263,24.139106206482687,25.827839185306097,8.742481419693275
-16288879.722612929,35704863.08236346,5338953.108644173,148.18948429783978,23.95619850764174,27.90088699179925,10.89980166804174
-30262600.962178674,59140389.55520883,16030937.315486863,144.25337729189155,22.822679607216866,28.56007576923751,11.289885104097852
-36436602.073951125,56325734.59981841,18041710.613794744,133.08948689160758,22.07684526082193,27.808284499494327,11.297452265139091
