r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,2.5785175965290414,1.329261410948249,0.0,-8.012778972324389,15.543286976560475,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3333430436013105,0.0,-8.029607382353271,15.528249858862546,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3374246762543716,0.0,-8.046381938724773,15.513200695161371,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3415063089074326,0.0,-8.063102683685392,15.498139676611794,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.345587941560494,0.0,-8.07976966033706,15.48306699368854,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3496695742135554,0.0,-8.096382912630402,15.467982836183634,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3537512068666167,0.0,-8.11294248535802,15.452887393203904,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3578328395196777,0.0,-8.129448424147766,15.437780853168505,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3619144721727388,0.0,-8.145900775456028,15.42266340380649,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3659961048258,0.0,-8.162299586561033,15.407535232154512,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3700777374788613,0.0,-8.178644905556139,15.39239652455449,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3741593701319228,0.0,-8.194936781343134,15.377247466651363,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.378241002784984,0.0,-8.211175263625567,15.36208824339092,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.382322635438045,0.0,-8.227360402902056,15.34691903901767,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3864042680911062,0.0,-8.243492250459628,15.331740037072738,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3904859007441674,0.0,-8.259570858367054,15.31655142039186,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3945675333972287,0.0,-8.275596279468203,15.301353371103392,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.3986491660502902,0.0,-8.291568567375394,15.286146070626412,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4027307987033513,0.0,-8.307487776462771,15.270929699668825,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4068124313564123,0.0,-8.32335396185968,15.25570443822555,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4108940640094736,0.0,-8.339167179444065,15.24047046557678,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4149756966625349,0.0,-8.35492748583586,15.225227960286226,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.419057329315596,0.0,-8.370634938390412,15.209977100199492,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4231389619686574,0.0,-8.386289595191904,15.194718062442435,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4272205946217187,0.0,-8.401891515046799,15.179451023419633,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4313022272747795,0.0,-8.417440757477276,15.164176158812818,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.435383859927841,0.0,-8.43293738271471,15.148893643579475,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.439465492580902,0.0,-8.44838145169315,15.1336036519514,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4435471252339631,0.0,-8.463773026042803,15.118306357433315,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4476287578870248,0.0,-8.479112168083544,15.103001932801613,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4517103905400863,0.0,-8.49439894081844,15.087690550103009,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4557920231931474,0.0,-8.509633407927284,15.072372380653382,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4598736558462084,0.0,-8.524815633760149,15.057047595036584,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4639552884992697,0.0,-8.539945683330949,15.041716363103305,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4680369211523308,0.0,-8.555023622311033,15.026378853970009,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.472118553805392,0.0,-8.570049517022778,15.011035236017896,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4762001864584535,0.0,-8.585023434433207,14.995685676891917,0.0,150.0
3.0,0.0,17.196077467085647,2.5785175965290414,1.4802818191115146,0.0,-8.599945442147618,14.98033034349984,0.0,150.0
