r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,1.9278812986764182,2.229406198668799,0.0,-13.122835115473192,11.347985136060627,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2375694639749213,0.0,-13.129572506994078,11.312389493769762,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.245732729281044,0.0,-13.136160772602032,11.27692461338168,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2538959945871664,0.0,-13.142601394660982,11.241590342045226,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.262059259893289,0.0,-13.148895843593824,11.206386518938706,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2702225251994115,0.0,-13.15504557792399,11.17131297544847,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.278385790505534,0.0,-13.161052044318431,11.136369535344906,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2865490558116566,0.0,-13.16691667763198,11.101556014955769,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.2947123211177787,0.0,-13.17264090095304,11.06687222333697,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.302875586423901,0.0,-13.178226125650514,11.032317962440722,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.3110388517300233,0.0,-13.18367375142196,10.997893027281195,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.319202117036146,0.0,-13.188985166342915,10.963597206097628,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.327365382342269,0.0,-13.194161746917343,10.9294302805149,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.3355286476483914,0.0,-13.199204858129177,10.895392025701703,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.343691912954514,0.0,-13.204115853494828,10.861482210526164,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.351855178260636,0.0,-13.208896075116783,10.827700597709123,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.360018443566758,0.0,-13.213546853738093,10.794046943974951,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.3681817088728807,0.0,-13.218069508797736,10.760521000199994,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.3763449741790033,0.0,-13.22246534848693,10.72712251155868,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.3845082394851262,0.0,-13.226735669806205,10.693851217667284,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.392671504791248,0.0,-13.230881758623278,10.660706852725369,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.4008347700973705,0.0,-13.234904889731716,10.627689145654964,0.0,250.0
3.0,0.0,17.196077467085647,1.9278812986764182,2.408998035403493,0.0,-13.238806326910264,10.5947978202375,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0089980354034926,0.0,-12.839647934466647,12.373397160630487,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.017161300709615,0.0,-12.851146838857575,12.334359661549607,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.025324566015738,0.0,-12.862452129891862,12.295451772725542,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.03348783132186,0.0,-12.873565607268048,12.256673646688258,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0416510966279824,0.0,-12.88448905863544,12.218025422102269,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.049814361934105,0.0,-12.895224259570377,12.179507224020306,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0579776272402275,0.0,-12.905772973555814,12.141119164134087,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.06614089254635,0.0,-12.916136951964129,12.102861341022123,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0743041578524726,0.0,-12.926317934042997,12.064733840394608,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0824674231585947,0.0,-12.936317646904348,12.026736735335328,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.0906306884647172,0.0,-12.946137805516264,11.988870086540691,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.09879395377084,0.0,-12.955780112697743,11.9511339425558,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1069572190769623,0.0,-12.965246259116284,11.913528340007629,0.0,250.0
