start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
-241835.95,568018.29,-14394.33,-870617.55,-904582.44,486984.7,12.37,35905.4
548361.49,324389.02,-150051.18,-199256.18,942196.51,926275.57,20.97,34881.01
-136745.84,-171326.33,-96595.45,271904.83,67966.92,296131.25,843.94,57688.49
-170587.87,-286956.15,-332190.96,-966078.03,-927230.53,537380.27,12.88,41122.13
-898700.26,702422.44,393070.79,-904933.59,530938.07,682287.07,13,25672.28
-3454.6,403204.86,-451761.8,-206193.3,-83914.95,84077.33,861.42,36284.06
-802907.48,464437.07,-801896.32,-199362.18,-909723.91,423883.56,2.85,25406.39
-783942.11,-954982.53,852558.01,-483111,-525594.26,-886652.59,32.2,23024.61
110882.02,13284.35,325935.83,199488.65,-424469.3,-106827.42,919.86,48102.48
-937119.87,-69542.5,-793648.63,-979180.23,971687.38,278794.81,36.89,25441.65
-422100.22,6446.18,313930.02,140604.63,193113.54,198518.24,921.13,38927.73
551532.16,-503439.22,-507545.31,317603.15,813107.71,-654557.74,22.14,29693.94
-214751.34,-657591.23,-889560.78,-958542.51,-12581,-206696.72,5.8,26542.71
-50909.94,-279244.84,-416853.98,-163317.48,-158300.46,297816.48,791.62,39758.84
-533194.27,-140522.14,119503.48,-380286.48,-467614.73,461603.63,8.19,37558.6
482393.77,112729.62,841659.09,138861.39,-239640.53,-726545.7,1.72,28455.54
-404346.51,175755.5,414132.83,703462.65,-781171.44,272753.46,3.01,36240.92
-668239.5,-339626.91,-547515.77,607574.25,-213175.31,-809727.99,21.61,29284.76
-337535.72,-151359.8,990982.31,-86834.52,258805.28,-187898.05,6.97,27405.7
697201.91,841563.34,386042,672737.74,793384.63,472868.73,30.61,26207.89
520998.75,539577.26,-169226.75,-650984.12,471927.15,930371.32,11.96,32171.26
938976.22,758105.81,-638954.1,-33380.66,785559.37,-52481.19,5.03,24095.42
-387577.76,-702959.59,-539704.62,753632.53,-593016.77,-838259.92,5.34,28654.35
131061.19,681428.39,-364250.89,795500.64,864157.15,-660968.18,22.13,31875.03
808055.74,-518568.33,830269.93,-98906.43,804173.39,689899.51,15.59,25030.64
-1010.79,-956927.69,-687458.34,678109.71,-980668,-702990.78,8.62,25968.13
206131.11,-41348.88,-736094.77,-102300.75,681869.06,652640.34,2.73,32195.37
763132.09,463133.64,-942953.14,-528815.97,-443207.14,39214.02,3.69,24698.29
130414.44,892141.51,-77419.68,-721240.07,194641.81,-371653.91,12.18,29650.63
-513322.56,-568975.72,994261.03,-706923.51,-435195.02,-787869.9,7.06,25149.61
256454.83,177022.84,-915767.21,-495409.07,621914.39,-310803.35,15.43,28680.98
554894.24,37266.49,-723008.19,164829.74,-5763.68,-262127.05,6.2,29515.66
492467.66,-34729.75,508535.51,-115577.96,-168619.9,-360863,950.35,33538.01
579841.03,-576000.79,79992.05,-725277.59,35641.57,-561727.09,7.62,31117.88
540194.01,692890.67,703924.17,-107466.69,-342098.71,202026.47,6.75,26560.88
282991.05,751565.58,-899803.5,-537264.04,870204.58,-795000.73,8.72,25666.48
-92773.48,625084.51,-533630.57,-263931.68,-71812.06,-600433.66,13.59,31019.19
82098.76,311179.1,927968.46,-292357.32,-192282.86,908404.4,12.01,28457.99
236508.02,-912953.52,38308.59,593088.55,32265.85,511771.79,7.02,29017.88
215776.06,-564228.22,-597685.06,984524.04,-329965.87,46395.1,17.15,30605.52
-223395.47,-770352.52,741685.31,269548.72,-167201.44,-770805.69,12.93,26981.92
200218.88,-830928.88,-235128.13,638503.21,-767848.17,836474.85,24.95,29970
59363.47,-210306.16,-14080.27,-269800.75,83612.8,-250171.62,746.02,60337.23
-529698.91,-377423.65,123078.76,-103269.41,410521.52,63325.41,920.66,34703.56
927725.2,864667.43,38469.75,890597.79,172474.24,144075.11,8.21,25020.02
224654.98,-819409.39,-432513.23,409604.13,205570.38,988190.72,5,28860.74
-674021.13,-351833.57,-384386.91,-539103.85,-121524.63,-455543.34,0.04,29215.84
-257664.33,455707.9,-424346.57,-81971.19,-116984.45,-228558.91,920.79,34394.7
-563306.03,943054.57,601576.52,298780.45,977182.41,-901320.26,3.03,25140.08
-46542.56,81059.49,-212649.03,493384.63,-49695.94,54658.98,804.35,58583.31
-703467.67,598132.96,-248034.54,881688.19,538292.28,987542.35,17.06,28850.83
424975.23,317592.04,102193.52,-293584.22,-449265.73,-28797.15,689.38,38412.57
189450.16,973904.71,-207211.04,753262.47,190812.43,-327718.75,6.81,27998.27
-608881.95,602164.74,233833.9,-136310.57,-692034.16,-494519.72,3.92,29904.09
-652809.04,-900135.98,771577.08,227369.49,-221974.78,814447.69,22.09,24245.21
-97137.47,-206472.94,-72203.25,-81674.85,732266.51,-128363.07,907.17,57714.37
12538.31,-937278.14,-913798.59,-529534.4,-239412.51,-105840.05,8.93,24633.09
539199.32,-647628.94,149236.9,-430186.02,268293.9,-439277.27,2.91,30444.57
652637.79,-867474.87,95880.21,194660.48,-817232.86,-624756.04,25.77,27026.59
127764.16,-56761.76,218749.39,-61593.55,-143376.84,182612.38,458.42,55414.77
978172.6,706231.3,-249430.44,482807.91,697829.14,-463059.5,14.7,25406.92
-791387.99,-77082.34,-509527.99,-244773.7,-573513.8,483569.44,4.76,28996.81
-61664.49,957131.21,-686476.89,-661973.24,313714.42,-40124.26,6.93,25948.03
-968655.61,996317.7,-82195.62,714207.86,-509657.31,-999860.9,18.05,23902.41
-159605.86,253193.11,452953.99,-86885.15,-256499.83,239032.72,889.44,38319.81
29564.64,-261278.84,-104744.48,243629.07,382735.1,-222605.07,933.25,53071.37
887825.38,-888977.6,888786.25,-782947.25,62850.45,345133.84,15.36,22726.18
-576591.48,66892.35,-575992.97,284768.29,-805733.74,-301410.45,13.79,31196.81
-905642.43,490868.3,-985633.57,-138735.18,-183113.63,572323.93,8.42,23598.44
