r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.8619529,-29.06501405,507.8636071,2.860188912,0.02888648,6.38E-06,-33.0323387,509.0064996,0.224168107,2.929949062,2368.60095,2364.72887
2.859551041,-27.28723841,510.029956,2.857888463,0.029008944,6.22E-06,-31.24015325,511.1510959,0.218625893,2.929949062,2362.79283,2358.920749
2.857304653,-25.41657363,512.1378453,2.855748776,0.029128062,6.08E-06,-29.35458651,513.2363888,0.213667243,2.929949062,2356.984709,2353.112629
2.855221602,-23.45417583,514.1842526,2.853777651,0.029243664,5.95E-06,-27.37678771,515.2593765,0.209191165,2.929949062,2351.176589,2347.304508
2.853309651,-21.40134334,516.1661949,2.85198278,0.02935558,5.83E-06,-25.30804951,517.217094,0.205117309,2.929949062,2345.368468,2341.496388
2.851576449,-19.25951715,518.0807301,2.850289707,0.029681404,3.60E-05,-25.70142166,519.0148872,1.260067036,2.951864154,2501.386463,2497.485425
2.849856148,-20.8009401,519.8520171,2.848481468,0.029783278,3.62E-05,-27.23274362,520.8031185,1.265076576,2.951864154,2495.534906,2491.633869
2.848006779,-22.26575518,521.6735432,2.846548536,0.029888006,3.63E-05,-28.68778855,522.64082,1.270371591,2.951864154,2489.683351,2485.782314
2.846034993,-23.65227477,523.5431698,2.844497659,0.029995463,3.65E-05,-30.06485975,524.5257724,1.276025716,2.951864154,2483.831795,2479.930759
2.843947582,-24.95885935,525.458598,2.842335724,0.030105515,3.67E-05,-31.36231067,526.4555752,1.282129228,2.951864154,2477.98024,2474.079204
2.841751477,-26.18392788,527.4173347,2.840069752,0.030218016,3.69E-05,-32.57855627,528.4276061,1.288793735,2.951864154,2472.128686,2468.22765
2.839453744,-27.3259713,529.416648,2.837706895,0.030332804,3.71E-05,-33.71208788,530.4389683,1.296158121,2.951864154,2466.277132,2462.376096
2.837061572,-28.38357021,531.4535102,2.835254423,0.0304497,3.73E-05,-34.76149257,532.4864206,1.304396576,2.951864154,2460.425578,2456.524543
2.834582268,-29.35541773,533.5245206,2.832719718,0.030568501,3.76E-05,-35.72547833,534.5662838,1.313729946,2.951864154,2454.574026,2450.672991
2.832023246,-30.24034959,535.6258023,2.83011026,0.030688977,3.79E-05,-36.60290731,536.6743103,1.324442289,2.951864154,2448.722474,2444.82144
2.829392012,-31.03738389,537.7528554,2.827433609,0.030810854,3.82E-05,-37.39283992,538.8054961,1.336905703,2.951864154,2442.870924,2438.969891
2.826696146,-31.74577463,539.9003439,2.824697387,0.030933808,3.86E-05,-38.09459478,540.9537998,1.351618783,2.951864154,2437.019375,2433.118343
2.823943281,-32.36508553,542.061772,2.821909249,0.031057438,3.91E-05,-38.70783174,543.1117048,1.369267609,2.951864154,2431.167827,2427.266797
2.821141069,-32.89529423,544.2289734,2.819076844,0.031181236,3.97E-05,-39.23266972,545.2695104,1.390822353,2.951864154,2425.316282,2421.415254
2.818297142,-33.33694333,546.3912737,2.816207767,0.031304524,4.05E-05,-39.66985627,547.4141518,1.417678568,2.951864154,2419.46474,2415.563713
2.815419052,-33.6913615,548.5340955,2.813309486,0.031426363,4.14E-05,-40.02100697,549.5272523,1.451812873,2.951864154,2413.613201,2409.712177
